p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,cateogory
0.06061692,0.05836002,0.05852685,0.05870638,0.069793,0.06481694,0.05853321,0.0371552,0.04687948,0.05825687,0.04900009,0.05793548,0.04714308,0.04568869,0.07090588,long_blink
0.06481694,0.05853321,0.0371552,0.04687948,0.05825687,0.04900009,0.05793548,0.04714308,0.04568869,0.07090588,0.04401267,0.05977649,0.06457742,0.07000249,0.06216994,long_blink
0.04900009,0.05793548,0.04714308,0.04568869,0.07090588,0.04401267,0.05977649,0.06457742,0.07000249,0.06216994,0.06724317,0.06532685,0.05706122,0.05814274,0.04449901,long_blink
0.04401267,0.05977649,0.06457742,0.07000249,0.06216994,0.06724317,0.06532685,0.05706122,0.05814274,0.04449901,0.0571315,0.03872159,0.04759536,0.05117112,0.058535,long_blink
0.06724317,0.06532685,0.05706122,0.05814274,0.04449901,0.0571315,0.03872159,0.04759536,0.05117112,0.058535,0.06377232,0.05002159,0.05066742,0.03739959,0.06234214,long_blink
0.0571315,0.03872159,0.04759536,0.05117112,0.058535,0.06377232,0.05002159,0.05066742,0.03739959,0.06234214,0.02581559,0.05328946,0.05782621,0.03353805,0.04866921,long_blink
0.06377232,0.05002159,0.05066742,0.03739959,0.06234214,0.02581559,0.05328946,0.05782621,0.03353805,0.04866921,0.04880493,0.04586527,0.03596558,0.05233097,0.04009268,long_blink
0.02581559,0.05328946,0.05782621,0.03353805,0.04866921,0.04880493,0.04586527,0.03596558,0.05233097,0.04009268,0.05233097,0.05590263,0.05685747,0.06026725,0.05623813,long_blink
0.04880493,0.04586527,0.03596558,0.05233097,0.04009268,0.05233097,0.05590263,0.05685747,0.06026725,0.05623813,0.04959815,0.04151361,0.04278708,0.05174033,0.07095682,long_blink
0.05233097,0.05590263,0.05685747,0.06026725,0.05623813,0.04959815,0.04151361,0.04278708,0.05174033,0.07095682,0.07719334,0.08375543,0.08895572,0.11751216,0.08867545,long_blink
0.04959815,0.04151361,0.04278708,0.05174033,0.07095682,0.07719334,0.08375543,0.08895572,0.11751216,0.08867545,0.0964191,0.11977276,0.08649889,0.1021744,0.11435481,long_blink
0.07719334,0.08375543,0.08895572,0.11751216,0.08867545,0.0964191,0.11977276,0.08649889,0.1021744,0.11435481,0.1185632,0.11260082,0.11918718,0.13368622,0.11574852,long_blink
0.0964191,0.11977276,0.08649889,0.1021744,0.11435481,0.1185632,0.11260082,0.11918718,0.13368622,0.11574852,0.11752619,0.10410476,0.12240733,0.10186384,0.11494572,long_blink
0.1185632,0.11260082,0.11918718,0.13368622,0.11574852,0.11752619,0.10410476,0.12240733,0.10186384,0.11494572,0.10894555,0.11490167,0.09933382,0.1021753,0.11246672,long_blink
0.11752619,0.10410476,0.12240733,0.10186384,0.11494572,0.10894555,0.11490167,0.09933382,0.1021753,0.11246672,0.11039586,0.08552424,0.07729954,0.06487501,0.06077749,long_blink
0.10894555,0.11490167,0.09933382,0.1021753,0.11246672,0.11039586,0.08552424,0.07729954,0.06487501,0.06077749,0.06354469,0.05459102,0.06705609,0.05646328,0.06286048,long_blink
0.06150451,0.06113224,0.05754963,0.05437456,0.07110569,0.05077764,0.05307291,0.04703986,0.06429663,0.04731787,0.04109414,0.04762661,0.04130961,0.04586793,0.04927783,long_blink
0.05077764,0.05307291,0.04703986,0.06429663,0.04731787,0.04109414,0.04762661,0.04130961,0.04586793,0.04927783,0.04855315,0.06098601,0.05804692,0.06467109,0.08121999,long_blink
0.04109414,0.04762661,0.04130961,0.04586793,0.04927783,0.04855315,0.06098601,0.05804692,0.06467109,0.08121999,0.07471576,0.0538015,0.06082023,0.0322667,0.06234754,long_blink
0.04855315,0.06098601,0.05804692,0.06467109,0.08121999,0.07471576,0.0538015,0.06082023,0.0322667,0.06234754,0.0390792,0.08985698,0.0974519,0.05772784,0.06099555,long_blink
0.07471576,0.0538015,0.06082023,0.0322667,0.06234754,0.0390792,0.08985698,0.0974519,0.05772784,0.06099555,0.07210571,0.04687926,0.07056274,0.06017534,0.06206789,long_blink
0.0390792,0.08985698,0.0974519,0.05772784,0.06099555,0.07210571,0.04687926,0.07056274,0.06017534,0.06206789,0.06128036,0.04517134,0.0467623,0.05267229,0.06164743,long_blink
0.07210571,0.04687926,0.07056274,0.06017534,0.06206789,0.06128036,0.04517134,0.0467623,0.05267229,0.06164743,0.06301697,0.03260032,0.03407015,0.05543901,0.04984264,long_blink
