p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,category
0.04959815,0.041513608,0.042787078,0.051740327,0.070956823,0.077193343,0.083755427,0.088955716,0.117512163,0.088675448,0.096419096,0.119772759,0.086498892,0.102174395,0.11435481,long_blink
0.077193343,0.083755427,0.088955716,0.117512163,0.088675448,0.096419096,0.119772759,0.086498892,0.102174395,0.11435481,0.118563202,0.112600824,0.119187183,0.133686222,0.115748515,long_blink
0.096419096,0.119772759,0.086498892,0.102174395,0.11435481,0.118563202,0.112600824,0.119187183,0.133686222,0.115748515,0.117526189,0.104104761,0.122407328,0.101863843,0.114945716,long_blink
0.118563202,0.112600824,0.119187183,0.133686222,0.115748515,0.117526189,0.104104761,0.122407328,0.101863843,0.114945716,0.108945549,0.114901672,0.099333819,0.102175297,0.112466722,long_blink
0.117526189,0.104104761,0.122407328,0.101863843,0.114945716,0.108945549,0.114901672,0.099333819,0.102175297,0.112466722,0.110395856,0.085524244,0.077299539,0.064875009,0.060777494,long_blink
0.108945549,0.114901672,0.099333819,0.102175297,0.112466722,0.110395856,0.085524244,0.077299539,0.064875009,0.060777494,0.063544688,0.054591021,0.067056094,0.056463284,0.062860482,long_blink
0.061504515,0.061132239,0.057549626,0.054374558,0.071105694,0.050777644,0.053072908,0.04703986,0.064296631,0.047317871,0.041094144,0.04762661,0.041309607,0.045867929,0.04927783,long_blink
0.050777644,0.053072908,0.04703986,0.064296631,0.047317871,0.041094144,0.04762661,0.041309607,0.045867929,0.04927783,0.04855315,0.060986013,0.058046923,0.064671088,0.081219991,long_blink
0.041094144,0.04762661,0.041309607,0.045867929,0.04927783,0.04855315,0.060986013,0.058046923,0.064671088,0.081219991,0.074715756,0.053801497,0.060820226,0.032266705,0.062347539,long_blink
0.04855315,0.060986013,0.058046923,0.064671088,0.081219991,0.074715756,0.053801497,0.060820226,0.032266705,0.062347539,0.039079198,0.089856978,0.097451898,0.057727835,0.060995555,long_blink
0.074715756,0.053801497,0.060820226,0.032266705,0.062347539,0.039079198,0.089856978,0.097451898,0.057727835,0.060995555,0.072105713,0.046879256,0.070562742,0.060175344,0.062067887,long_blink
